,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
114,Race,2016,7.1,56.0,38471,19097994,"Biography, Drama, Sport","Director:Stephen Hopkins| Stars:Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton"
115,The Choice,2016,6.5,26.0,41888,18709066,"Drama, Romance","Director:Ross Katz| Stars:Benjamin Walker, Teresa Palmer, Alexandra Daddario, Maggie Grace"
116,Bad Santa 2,2016,5.6,38.0,26878,17782178,"Comedy, Crime, Drama","Director:Mark Waters| Stars:Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks"
117,Norm of the North,2016,3.4,21.0,9594,17017118,"Animation, Adventure, Comedy","Director:Trevor Wall| Stars:Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy"
118,The Birth of a Nation,2016,6.5,69.0,21353,15858754,"Biography, Drama, History","Director:Nate Parker| Stars:Nate Parker, Armie Hammer, Penelope Ann Miller, Jackie Earle Haley"
119,The Infiltrator,2016,7.0,66.0,75306,15425870,"Biography, Crime, Drama","Director:Brad Furman| Stars:Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan"
120,Keeping Up with the Joneses,2016,5.9,34.0,64264,14904426,"Action, Comedy","Director:Greg Mottola| Stars:Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot"
121,The Edge of Seventeen,2016,7.3,77.0,130152,14431633,"Comedy, Drama","Director:Kelly Fremon Craig| Stars:Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick"
122,Criminal,2016,6.3,36.0,67522,14268533,"Action, Sci-Fi, Thriller","Director:Ariel Vromen| Stars:Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman"
123,Love & Friendship,2016,6.4,87.0,25451,14013564,"Comedy, Drama, Romance","Director:Whit Stillman| Stars:Kate Beckinsale, Chloë Sevigny, Xavier Samuel, Emma Greenwell"
124,Jackie,V) (2016,6.7,81.0,80807,13958679,"Biography, Drama","Director:Pablo Larraín| Stars:Natalie Portman, Peter Sarsgaard, Greta Gerwig, Billy Crudup"
125,The Cool Kids,2016,6.8,,91,13920018,Thriller,"Directors:Jamall J Robinson, Rock Jacobs| Stars:Marques Anthony, Becktoria, Marisa Belinda, Danielle Krivak"
126,The Founder,2016,7.2,66.0,155187,12786053,"Biography, Drama","Director:John Lee Hancock| Stars:Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini"
127,Triple 9,2016,6.3,52.0,73651,12626905,"Action, Crime, Thriller","Director:John Hillcoat| Stars:Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul"
128,The Light Between Oceans,2016,7.2,60.0,57855,12545979,"Drama, Romance","Director:Derek Cianfrance| Stars:Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery"
129,Dangal,2016,8.3,,193902,12391761,"Action, Biography, Drama","Director:Nitesh Tiwari| Stars:Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
130,Fifty Shades of Black,2016,3.5,28.0,22010,11686940,Comedy,"Director:Michael Tiddes| Stars:Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps"
131,No manches Frida,2016,5.5,,2425,11514388,"Comedy, Romance","Director:Nacho G. Velilla| Stars:Omar Chaparro, Martha Higareda, Mónica Dionne, Rocio Garcia"
132,Dead Awake,2016,4.6,,3413,11108321,"Drama, Horror, Mystery","Director:Phillip Guzman| Stars:Jocelin Donahue, Jesse Bradford, Jesse Borrego, Lori Petty"
133,Café Society,2016,6.6,64.0,78371,11103205,"Comedy, Drama, Romance","Director:Woody Allen| Stars:Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively"
134,Pride and Prejudice and Zombies,2016,5.8,45.0,57754,10907291,"Action, Comedy, Fantasy","Director:Burr Steers| Stars:Lily James, Sam Riley, Jack Huston, Bella Heathcote"
135,The Darkness,2016,4.5,27.0,16513,10732841,"Horror, Thriller","Director:Greg McLean| Stars:Kevin Bacon, Radha Mitchell, David Mazouz, Lucy Fry"
136,Nocturnal Animals,2016,7.5,67.0,284762,10663357,"Drama, Thriller","Director:Tom Ford| Stars:Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson"
137,Live by Night,2016,6.4,49.0,58051,10378555,"Action, Crime, Drama","Director:Ben Affleck| Stars:Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina"
138,The Belko Experiment,2016,6.1,44.0,52855,10164675,"Horror, Thriller","Director:Greg McLean| Stars:John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley"
139,The Perfect Match,2016,4.9,41.0,4204,9658370,"Comedy, Romance","Director:Bille Woodruff| Stars:Terrence Jenkins, Cassie Ventura, Paula Patton, Kali Hawk"
140,Rock Dog,2016,5.9,48.0,5609,9404922,"Animation, Adventure, Comedy","Director:Ash Brannon| Stars:Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black"
141,Popstar: Never Stop Never Stopping,2016,6.7,68.0,63637,9393835,"Comedy, Drama, Musical","Directors:Akiva Schaffer, Jorma Taccone| Stars:Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman"
142,Meet the Blacks,2016,4.8,26.0,36931,9093856,"Comedy, Horror","Director:Deon Taylor| Stars:Mike Epps, Zulay Henao, Alex Henderson, Bresha Webb"
143,Brave New Jersey,2016,5.3,45.0,590,8918944,"Comedy, History","Director:Jody Lambert| Stars:Anna Camp, Tony Hale, Heather Burns, Evan Jonigkeit"
144,Queen of Katwe,2016,7.4,73.0,17780,8805918,"Biography, Drama, Sport","Director:Mira Nair| Stars:Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza"
